wheel_base,length,width,curb_weight,num_of_cylinders,engine_size,horsepower,price
99.8,176.6,66.2,2337,4,109,102,13950
99.4,176.6,66.4,2824,5,136,115,17450
105.8,192.7,71.4,2844,5,136,110,17710
105.8,192.7,71.4,3086,5,131,140,23875
101.2,176.8,64.8,2395,4,108,101,16430
101.2,176.8,64.8,2395,4,108,101,16925
101.2,176.8,64.8,2710,6,164,121,20970
101.2,176.8,64.8,2765,6,164,121,21105
88.4,141.1,60.3,1488,3,61,48,5151
94.5,155.9,63.6,1874,4,90,70,6295
94.5,158.8,63.6,1909,4,90,70,6575
93.7,157.3,63.8,1876,4,90,68,5572
93.7,157.3,63.8,1876,4,90,68,6377
93.7,157.3,63.8,2128,4,98,102,7957
93.7,157.3,63.8,1967,4,90,68,6229
93.7,157.3,63.8,1989,4,90,68,6692
93.7,157.3,63.8,1989,4,90,68,7609
103.3,174.6,64.6,2535,4,122,88,8921
95.9,173.2,66.3,2811,4,156,145,12964
86.6,144.6,63.9,1713,4,92,58,6479
86.6,144.6,63.9,1819,4,92,76,6855
93.7,150,64,1837,4,79,60,5399
93.7,150,64,1940,4,92,76,6529
93.7,150,64,1956,4,92,76,7129
96.5,163.4,64,2010,4,92,76,7295
96.5,157.1,63.9,2024,4,92,76,7295
96.5,167.5,65.2,2236,4,110,86,7895
96.5,167.5,65.2,2289,4,110,86,9095
96.5,175.4,65.2,2304,4,110,86,8845
96.5,175.4,62.5,2372,4,110,86,10295
96.5,175.4,65.2,2465,4,110,101,12945
96.5,169.1,66,2293,4,110,100,10345
113,199.6,69.6,4066,6,258,176,32250
93.1,159.1,64.2,1890,4,91,68,5195
93.1,159.1,64.2,1900,4,91,68,6095
93.1,159.1,64.2,1905,4,91,68,6795
93.1,166.8,64.2,1945,4,91,68,6695
93.1,166.8,64.2,1950,4,91,68,7395
98.8,177.8,66.5,2385,4,122,84,8845
98.8,177.8,66.5,2410,4,122,84,8495
98.8,177.8,66.5,2385,4,122,84,10595
98.8,177.8,66.5,2410,4,122,84,10245
98.8,177.8,66.5,2425,4,122,84,11245
104.9,175,66.1,2670,4,140,120,18280
110,190.9,70.3,3515,5,183,123,25552
110,190.9,70.3,3750,5,183,123,28248
106.7,187.5,70.3,3495,5,183,123,28176
115.6,202.6,71.7,3770,5,183,123,31600
96.6,180.3,70.5,3685,8,234,155,35056
93.7,157.3,64.4,1918,4,92,68,5389
93.7,157.3,64.4,1944,4,92,68,6189
93.7,157.3,64.4,2004,4,92,68,6669
93,157.3,63.8,2145,4,98,102,7689
96.3,173,65.4,2370,4,110,116,9959
96.3,173,65.4,2328,4,122,88,8499
96.3,172.4,65.4,2365,4,122,88,6989
96.3,172.4,65.4,2405,4,122,88,8189
96.3,172.4,65.4,2403,4,110,116,9279
96.3,172.4,65.4,2403,4,110,116,9279
94.5,165.3,63.8,1889,4,97,69,5499
94.5,165.3,63.8,2017,4,103,55,7099
94.5,165.3,63.8,1918,4,97,69,6649
94.5,165.3,63.8,1938,4,97,69,6849
94.5,170.2,63.8,2024,4,97,69,7349
94.5,165.3,63.8,1951,4,97,69,7299
94.5,165.6,63.8,2028,4,97,69,7799
94.5,165.3,63.8,1971,4,97,69,7499
94.5,170.2,63.8,2037,4,97,69,7999
95.1,162.4,63.8,2008,4,97,69,8249
97.2,173.4,65.2,2324,4,120,97,8949
97.2,173.4,65.2,2302,4,120,97,9549
100.4,181.7,66.5,3095,6,181,152,13499
100.4,184.6,66.5,3296,6,181,152,14399
100.4,184.6,66.5,3060,6,181,152,13499
91.3,170.7,67.9,3071,6,181,160,17199
91.3,170.7,67.9,3139,6,181,200,19699
99.2,178.5,67.9,3139,6,181,160,18399
107.9,186.7,68.4,3020,4,120,97,11900
107.9,186.7,68.4,3197,4,152,95,13200
107.9,186.7,68.4,3075,4,120,95,15580
107.9,186.7,68.4,3252,4,152,95,16900
107.9,186.7,68.4,3075,4,120,97,16630
107.9,186.7,68.4,3252,4,152,95,17950
108,186.7,68.3,3130,4,134,142,18150
93.7,157.3,63.8,1918,4,90,68,5572
93.7,157.3,63.8,2128,4,98,102,7957
93.7,157.3,63.8,1967,4,90,68,6229
93.7,167.3,63.8,1989,4,90,68,6692
93.7,167.3,63.8,2191,4,98,68,7609
103.3,174.6,64.6,2535,4,122,88,8921
94.5,168.9,68.3,2778,4,151,143,22018
99.1,186.6,66.5,2658,4,121,110,11850
99.1,186.6,66.5,2695,4,121,110,12170
99.1,186.6,66.5,2707,4,121,110,15040
99.1,186.6,66.5,2758,4,121,110,15510
99.1,186.6,66.5,2808,4,121,160,18150
99.1,186.6,66.5,2847,4,121,160,18620
93.7,156.9,63.4,2050,4,97,69,5118
93.7,157.9,63.6,2120,4,108,73,7053
93.3,157.3,63.8,2240,4,108,73,7603
97.2,172,65.4,2145,4,108,82,7126
97.2,172,65.4,2190,4,108,82,7775
97.2,172,65.4,2340,4,108,94,9960
97,172,65.4,2385,4,108,82,9233
97,172,65.4,2510,4,108,111,11259
